1 (D[4]C[8]N[B3D5E680]):
         | 00 | 01 | 10 | 11 |
     1   | 0  | 0  | 0  | 0  |
     2   | 0  | 0  | 0  | 1  |
     3   | 0  | 1  | 1  | 0  |
     4   | 0  | 1  | 1  | 1  |
     5   | 1  | 0  | 1  | 0  |
     6   | 1  | 0  | 1  | 1  |
     7   | 1  | 1  | 0  | 0  |
     8   | 1  | 1  | 0  | 1  |

2 (D[4]C[8]N[F359E248]):
         | 00 | 01 | 10 | 11 |
     1   | 0  | 0  | 0  | 1  |
     2   | 0  | 0  | 1  | 0  |
     3   | 0  | 1  | 0  | 0  |
     4   | 0  | 1  | 1  | 1  |
     5   | 1  | 0  | 0  | 1  |
     6   | 1  | 0  | 1  | 0  |
     7   | 1  | 1  | 0  | 0  |
     8   | 1  | 1  | 1  | 1  |

3 (D[4]C[8]N[7B59E2C0]):
         | 00 | 01 | 10 | 11 |
     1   | 0  | 0  | 0  | 0  |
     2   | 0  | 0  | 1  | 1  |
     3   | 0  | 1  | 0  | 0  |
     4   | 0  | 1  | 1  | 1  |
     5   | 1  | 0  | 0  | 1  |
     6   | 1  | 0  | 1  | 0  |
     7   | 1  | 1  | 0  | 1  |
     8   | 1  | 1  | 1  | 0  |

4 (D[4]C[8]N[73D9EA40]):
         | 00 | 01 | 10 | 11 |
     1   | 0  | 0  | 0  | 0  |
     2   | 0  | 0  | 1  | 0  |
     3   | 0  | 1  | 0  | 1  |
     4   | 0  | 1  | 1  | 1  |
     5   | 1  | 0  | 0  | 1  |
     6   | 1  | 0  | 1  | 1  |
     7   | 1  | 1  | 0  | 0  |
     8   | 1  | 1  | 1  | 0  |

5 (D[4]C[8]N[F3596AC0]):
         | 00 | 01 | 10 | 11 |
     1   | 0  | 0  | 0  | 0  |
     2   | 0  | 0  | 1  | 1  |
     3   | 0  | 1  | 0  | 1  |
     4   | 0  | 1  | 1  | 0  |
     5   | 1  | 0  | 0  | 1  |
     6   | 1  | 0  | 1  | 0  |
     7   | 1  | 1  | 0  | 0  |
     8   | 1  | 1  | 1  | 1  |

6 (D[4]C[8]N[F3D16A48]):
         | 00 | 01 | 10 | 11 |
     1   | 0  | 0  | 0  | 1  |
     2   | 0  | 0  | 1  | 0  |
     3   | 0  | 1  | 0  | 1  |
     4   | 0  | 1  | 1  | 0  |
     5   | 1  | 0  | 0  | 0  |
     6   | 1  | 0  | 1  | 1  |
     7   | 1  | 1  | 0  | 0  |
     8   | 1  | 1  | 1  | 1  |

7 (D[4]C[8]N[FB5162C8]):
         | 00 | 01 | 10 | 11 |
     1   | 0  | 0  | 0  | 1  |
     2   | 0  | 0  | 1  | 1  |
     3   | 0  | 1  | 0  | 0  |
     4   | 0  | 1  | 1  | 0  |
     5   | 1  | 0  | 0  | 0  |
     6   | 1  | 0  | 1  | 0  |
     7   | 1  | 1  | 0  | 1  |
     8   | 1  | 1  | 1  | 1  |

8 (D[4]C[8]N[7BD1E248]):
         | 00 | 01 | 10 | 11 |
     1   | 0  | 0  | 0  | 1  |
     2   | 0  | 0  | 1  | 0  |
     3   | 0  | 1  | 0  | 0  |
     4   | 0  | 1  | 1  | 1  |
     5   | 1  | 0  | 0  | 0  |
     6   | 1  | 0  | 1  | 1  |
     7   | 1  | 1  | 0  | 1  |
     8   | 1  | 1  | 1  | 0  |

9 (D[4]C[8]N[7BD16AC0]):
         | 00 | 01 | 10 | 11 |
     1   | 0  | 0  | 0  | 0  |
     2   | 0  | 0  | 1  | 1  |
     3   | 0  | 1  | 0  | 1  |
     4   | 0  | 1  | 1  | 0  |
     5   | 1  | 0  | 0  | 0  |
     6   | 1  | 0  | 1  | 1  |
     7   | 1  | 1  | 0  | 1  |
     8   | 1  | 1  | 1  | 0  |

10 (D[4]C[8]N[F791A2C4]):
         | 00 | 01 | 10 | 11 |
     1   | 0  | 0  | 1  | 0  |
     2   | 0  | 0  | 1  | 1  |
     3   | 0  | 1  | 0  | 0  |
     4   | 0  | 1  | 0  | 1  |
     5   | 1  | 0  | 0  | 0  |
     6   | 1  | 0  | 0  | 1  |
     7   | 1  | 1  | 1  | 0  |
     8   | 1  | 1  | 1  | 1  |

