1 (D[8]C[16]N[97272BCB5DEDF111F6467A9A3C8CA040]): ((0, 0, 0, 0, 0, 0, 1, 0), (0, 0, 0, 0, 0, 1, 0, 1), (0, 0, 1, 1, 0, 0, 0, 1), (0, 0, 1, 1, 1, 1, 0, 0), (0, 1, 0, 1, 1, 0, 0, 1), (0, 1, 0, 1, 1, 1, 1, 0), (0, 1, 1, 0, 0, 0, 1, 0), (0, 1, 1, 0, 1, 1, 1, 1), (1, 0, 0, 0, 1, 0, 0, 0), (1, 0, 0, 0, 1, 1, 1, 1), (1, 0, 1, 1, 0, 1, 1, 1), (1, 0, 1, 1, 1, 0, 1, 0), (1, 1, 0, 1, 0, 0, 1, 1), (1, 1, 0, 1, 0, 1, 0, 0), (1, 1, 1, 0, 0, 1, 0, 0), (1, 1, 1, 0, 1, 0, 0, 1))
2 (D[8]C[16]N[3BEB53834D8DF535BE6ED6065898E020]): ((0, 0, 0, 0, 0, 1, 0, 0), (0, 0, 0, 0, 0, 1, 1, 1), (0, 0, 0, 1, 1, 0, 0, 1), (0, 0, 0, 1, 1, 0, 1, 0), (0, 1, 1, 0, 0, 0, 0, 0), (0, 1, 1, 0, 1, 0, 1, 1), (0, 1, 1, 1, 0, 1, 1, 0), (0, 1, 1, 1, 1, 1, 0, 1), (1, 0, 1, 0, 1, 1, 0, 0), (1, 0, 1, 0, 1, 1, 1, 1), (1, 0, 1, 1, 0, 0, 0, 1), (1, 0, 1, 1, 0, 0, 1, 0), (1, 1, 0, 0, 0, 0, 0, 1), (1, 1, 0, 0, 1, 0, 1, 0), (1, 1, 0, 1, 0, 1, 1, 1), (1, 1, 0, 1, 1, 1, 0, 0))
3 (D[8]C[16]N[BB6B53834D8DF5353EEED6065898E020]): ((0, 0, 0, 0, 0, 1, 0, 0), (0, 0, 0, 0, 0, 1, 1, 1), (0, 0, 0, 1, 1, 0, 0, 1), (0, 0, 0, 1, 1, 0, 1, 0), (0, 1, 1, 0, 0, 0, 0, 0), (0, 1, 1, 0, 1, 0, 1, 1), (0, 1, 1, 1, 0, 1, 1, 1), (0, 1, 1, 1, 1, 1, 0, 0), (1, 0, 1, 0, 1, 1, 0, 0), (1, 0, 1, 0, 1, 1, 1, 1), (1, 0, 1, 1, 0, 0, 0, 1), (1, 0, 1, 1, 0, 0, 1, 0), (1, 1, 0, 0, 0, 0, 0, 1), (1, 1, 0, 0, 1, 0, 1, 0), (1, 1, 0, 1, 0, 1, 1, 0), (1, 1, 0, 1, 1, 1, 0, 1))
4 (D[8]C[16]N[9B6B53A34D8DF5351EEED62678B8C000]): ((0, 0, 0, 0, 0, 0, 0, 0), (0, 0, 0, 0, 0, 0, 1, 1), (0, 0, 0, 1, 1, 1, 0, 1), (0, 0, 0, 1, 1, 1, 1, 0), (0, 1, 1, 0, 0, 1, 0, 0), (0, 1, 1, 0, 1, 0, 1, 1), (0, 1, 1, 1, 0, 1, 1, 1), (0, 1, 1, 1, 1, 0, 0, 0), (1, 0, 1, 0, 1, 1, 0, 0), (1, 0, 1, 0, 1, 1, 1, 1), (1, 0, 1, 1, 0, 0, 0, 1), (1, 0, 1, 1, 0, 0, 1, 0), (1, 1, 0, 0, 0, 1, 0, 1), (1, 1, 0, 0, 1, 0, 1, 0), (1, 1, 0, 1, 0, 1, 1, 0), (1, 1, 0, 1, 1, 0, 0, 1))
5 (D[8]C[16]N[1BEB53A34D8DF5359E6ED62678B8C000]): ((0, 0, 0, 0, 0, 0, 0, 0), (0, 0, 0, 0, 0, 0, 1, 1), (0, 0, 0, 1, 1, 1, 0, 1), (0, 0, 0, 1, 1, 1, 1, 0), (0, 1, 1, 0, 0, 1, 0, 0), (0, 1, 1, 0, 1, 0, 1, 1), (0, 1, 1, 1, 0, 1, 1, 0), (0, 1, 1, 1, 1, 0, 0, 1), (1, 0, 1, 0, 1, 1, 0, 0), (1, 0, 1, 0, 1, 1, 1, 1), (1, 0, 1, 1, 0, 0, 0, 1), (1, 0, 1, 1, 0, 0, 1, 0), (1, 1, 0, 0, 0, 1, 0, 1), (1, 1, 0, 0, 1, 0, 1, 0), (1, 1, 0, 1, 0, 1, 1, 1), (1, 1, 0, 1, 1, 0, 0, 0))
6 (D[8]C[16]N[BBCB13637D0DD5A57ECE962618A8F040]): ((0, 0, 0, 0, 0, 0, 1, 0), (0, 0, 0, 0, 1, 1, 1, 1), (0, 0, 0, 1, 0, 1, 0, 1), (0, 0, 0, 1, 1, 0, 0, 0), (0, 1, 1, 0, 0, 1, 0, 0), (0, 1, 1, 0, 1, 0, 0, 1), (0, 1, 1, 1, 0, 0, 1, 1), (0, 1, 1, 1, 1, 1, 1, 0), (1, 0, 1, 0, 0, 1, 0, 1), (1, 0, 1, 0, 1, 0, 1, 1), (1, 0, 1, 1, 0, 0, 0, 0), (1, 0, 1, 1, 1, 1, 1, 0), (1, 1, 0, 0, 0, 1, 1, 0), (1, 1, 0, 0, 1, 0, 0, 0), (1, 1, 0, 1, 0, 0, 1, 1), (1, 1, 0, 1, 1, 1, 0, 1))
7 (D[8]C[16]N[BBCB13637D0DD5A5FE4E962618A870C0]): ((0, 0, 0, 0, 0, 0, 1, 1), (0, 0, 0, 0, 1, 1, 1, 0), (0, 0, 0, 1, 0, 1, 0, 1), (0, 0, 0, 1, 1, 0, 0, 0), (0, 1, 1, 0, 0, 1, 0, 0), (0, 1, 1, 0, 1, 0, 0, 1), (0, 1, 1, 1, 0, 0, 1, 0), (0, 1, 1, 1, 1, 1, 1, 1), (1, 0, 1, 0, 0, 1, 0, 1), (1, 0, 1, 0, 1, 0, 1, 1), (1, 0, 1, 1, 0, 0, 0, 0), (1, 0, 1, 1, 1, 1, 1, 0), (1, 1, 0, 0, 0, 1, 1, 0), (1, 1, 0, 0, 1, 0, 0, 0), (1, 1, 0, 1, 0, 0, 1, 1), (1, 1, 0, 1, 1, 1, 0, 1))
8 (D[8]C[16]N[BFCF17677909D1A1FA4A92221CAC74C4]): ((0, 0, 1, 0, 0, 0, 1, 1), (0, 0, 1, 0, 1, 1, 1, 0), (0, 0, 1, 1, 0, 1, 0, 1), (0, 0, 1, 1, 1, 0, 0, 0), (0, 1, 0, 0, 0, 1, 0, 0), (0, 1, 0, 0, 1, 0, 0, 1), (0, 1, 0, 1, 0, 0, 1, 0), (0, 1, 0, 1, 1, 1, 1, 1), (1, 0, 0, 0, 0, 1, 0, 1), (1, 0, 0, 0, 1, 0, 1, 1), (1, 0, 0, 1, 0, 0, 0, 0), (1, 0, 0, 1, 1, 1, 1, 0), (1, 1, 1, 0, 0, 1, 1, 0), (1, 1, 1, 0, 1, 0, 0, 0), (1, 1, 1, 1, 0, 0, 1, 1), (1, 1, 1, 1, 1, 1, 0, 1))
9 (D[8]C[16]N[BFCF1767798951A1FA4A92221C2CF4C4]): ((0, 0, 1, 0, 0, 0, 1, 1), (0, 0, 1, 0, 1, 1, 1, 1), (0, 0, 1, 1, 0, 1, 0, 0), (0, 0, 1, 1, 1, 0, 0, 0), (0, 1, 0, 0, 0, 1, 0, 0), (0, 1, 0, 0, 1, 0, 0, 1), (0, 1, 0, 1, 0, 0, 1, 0), (0, 1, 0, 1, 1, 1, 1, 1), (1, 0, 0, 0, 0, 1, 0, 1), (1, 0, 0, 0, 1, 0, 1, 0), (1, 0, 0, 1, 0, 0, 0, 1), (1, 0, 0, 1, 1, 1, 1, 0), (1, 1, 1, 0, 0, 1, 1, 0), (1, 1, 1, 0, 1, 0, 0, 0), (1, 1, 1, 1, 0, 0, 1, 1), (1, 1, 1, 1, 1, 1, 0, 1))
10 (D[8]C[16]N[BFCF3747598971A1FA6A92021C2CD4E4]): ((0, 0, 1, 0, 0, 1, 1, 1), (0, 0, 1, 0, 1, 0, 1, 1), (0, 0, 1, 1, 0, 1, 0, 0), (0, 0, 1, 1, 1, 0, 0, 0), (0, 1, 0, 0, 0, 0, 0, 0), (0, 1, 0, 0, 1, 0, 0, 1), (0, 1, 0, 1, 0, 1, 1, 0), (0, 1, 0, 1, 1, 1, 1, 1), (1, 0, 0, 0, 0, 1, 0, 1), (1, 0, 0, 0, 1, 1, 1, 0), (1, 0, 0, 1, 0, 0, 0, 1), (1, 0, 0, 1, 1, 0, 1, 0), (1, 1, 1, 0, 0, 0, 1, 0), (1, 1, 1, 0, 1, 1, 0, 0), (1, 1, 1, 1, 0, 0, 1, 1), (1, 1, 1, 1, 1, 1, 0, 1))
